ambiguity_bucket,arm,failed_tool_calls,file_hit,first_gold_event_seq,first_gold_llm_calls,first_gold_tokens,first_gold_tool_calls,function_hit,gold_candidate_rank,gold_definition_in_candidates,gold_files,index_candidate_count,instance_id,issue_identifier_count,line_hit,locator_llm_calls,max_line_iou,name_eligible,predicted_locations,recall_at_1,recall_at_3,recall_at_5,reflection_turns,run_id,termination_reason,token_usage_incomplete,tool_calls,total_tokens,trajectory_path,wall_clock_ms
non_eligible,baseline,0,0,37,12,51200,11,0,,False,['django/db/models/deletion.py'],0,django__django-11179,1,0,12,0.0,False,[],0,0,0,0,name_to_definition_phase1-django__django-11179-baseline-fc12c61d29,budget_exhausted,False,12,51200,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-11179/0/trajectory.jsonl,64757.618
non_eligible,n2d,0,0,37,12,53295,11,0,,False,['django/db/models/deletion.py'],0,django__django-11179,1,0,12,0.0,False,[],0,0,0,0,name_to_definition_phase1-django__django-11179-n2d-fdd7db12b6,budget_exhausted,False,12,53295,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-11179/0/trajectory.jsonl,55031.874
1,baseline,0,0,19,6,20806,5,0,,False,['django/contrib/admin/utils.py'],13,django__django-12308,5,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-12308-baseline-5b85a4ae2c,budget_exhausted,False,12,75217,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-12308/0/trajectory.jsonl,60571.299
1,n2d,0,0,16,5,16766,4,0,,False,['django/contrib/admin/utils.py'],13,django__django-12308,5,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-12308-n2d-87f1308078,budget_exhausted,False,12,85929,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-12308/0/trajectory.jsonl,59636.324
1,baseline,0,0,37,12,54609,11,0,,False,['django/db/backends/base/schema.py'],72,django__django-12708,6,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-12708-baseline-a4acd2fcd3,budget_exhausted,False,12,54609,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-12708/0/trajectory.jsonl,65013.21
1,n2d,0,0,34,11,50192,10,0,,False,['django/db/backends/base/schema.py'],72,django__django-12708,6,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-12708-n2d-5eea204be6,budget_exhausted,False,12,56507,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-12708/0/trajectory.jsonl,65000.854
1,baseline,0,0,31,10,56692,9,0,,False,['django/db/models/sql/compiler.py'],88,django__django-13033,33,0,10,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-13033-baseline-c24de20d64,timeout,False,10,56692,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-13033/0/trajectory.jsonl,138937.508
1,n2d,0,0,31,10,57762,9,0,,False,['django/db/models/sql/compiler.py'],88,django__django-13033,33,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-13033-n2d-f0f13b0f16,budget_exhausted,False,12,78625,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-13033/0/trajectory.jsonl,62259.105
1,baseline,0,0,34,11,47236,10,0,,False,['django/contrib/auth/tokens.py'],2,django__django-13551,4,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-13551-baseline-059a9129c0,budget_exhausted,False,12,53865,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-13551/0/trajectory.jsonl,60410.02
1,n2d,0,0,22,7,25885,6,0,,False,['django/contrib/auth/tokens.py'],2,django__django-13551,4,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-13551-n2d-300a3e5b14,budget_exhausted,False,12,57296,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-13551/0/trajectory.jsonl,57622.143
2-5,baseline,0,0,22,7,30125,6,0,,False,['django/db/models/query_utils.py'],15,django__django-14017,6,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-14017-baseline-ce3130fbb4,budget_exhausted,False,12,72626,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-14017/0/trajectory.jsonl,58464.144
2-5,n2d,0,0,19,6,25236,5,0,,False,['django/db/models/query_utils.py'],15,django__django-14017,6,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-14017-n2d-acd62a9e3e,budget_exhausted,False,12,104925,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-14017/0/trajectory.jsonl,66393.87
>5,baseline,0,0,34,11,98518,10,0,,False,['django/db/migrations/operations/models.py'],83,django__django-14999,2,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-14999-baseline-de10e76d01,budget_exhausted,False,12,112399,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-14999/0/trajectory.jsonl,65324.524
>5,n2d,0,0,19,6,38473,5,0,,False,['django/db/migrations/operations/models.py'],83,django__django-14999,2,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-14999-n2d-4e276c20ea,budget_exhausted,False,12,116402,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-14999/0/trajectory.jsonl,72154.689
2-5,baseline,0,0,31,10,41221,9,0,,False,['django/contrib/auth/forms.py'],970,django__django-16139,10,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-16139-baseline-d835dbd0fa,budget_exhausted,False,12,54188,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-16139/0/trajectory.jsonl,62620.253
2-5,n2d,0,0,31,10,52565,9,0,,False,['django/contrib/auth/forms.py'],970,django__django-16139,10,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-django__django-16139-n2d-563e7dd9de,budget_exhausted,False,12,67879,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-16139/0/trajectory.jsonl,64223.712
1,baseline,0,0,37,12,50997,11,0,,False,['lib/matplotlib/__init__.py'],538,matplotlib__matplotlib-23299,59,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23299-baseline-67977a3e1b,budget_exhausted,False,12,50997,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-23299/0/trajectory.jsonl,69363.152
1,n2d,0,0,25,8,35939,7,0,,False,['lib/matplotlib/__init__.py'],538,matplotlib__matplotlib-23299,59,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23299-n2d-cc1ae9d727,budget_exhausted,False,12,84722,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-23299/0/trajectory.jsonl,61718.854
1,baseline,0,0,37,12,90971,11,0,,False,['lib/mpl_toolkits/mplot3d/axes3d.py'],1060,matplotlib__matplotlib-23314,22,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23314-baseline-0e99d10877,budget_exhausted,False,12,90971,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-23314/0/trajectory.jsonl,65981.194
1,n2d,0,0,37,12,101797,11,0,,False,['lib/mpl_toolkits/mplot3d/axes3d.py'],1060,matplotlib__matplotlib-23314,22,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23314-n2d-d0b68a04d6,budget_exhausted,False,12,101797,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-23314/0/trajectory.jsonl,60379.411
1,baseline,0,0,16,5,16702,4,0,,False,['lib/matplotlib/figure.py'],3048,matplotlib__matplotlib-23476,97,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23476-baseline-a7bc3b7acd,budget_exhausted,False,12,63055,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-23476/0/trajectory.jsonl,57634.527
1,n2d,0,0,16,5,23822,4,0,,False,['lib/matplotlib/figure.py'],3048,matplotlib__matplotlib-23476,97,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-23476-n2d-e59127664a,budget_exhausted,False,12,112084,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-23476/0/trajectory.jsonl,62686.057
1,baseline,0,0,37,12,119351,11,0,,False,['lib/matplotlib/axes/_axes.py'],3725,matplotlib__matplotlib-24149,144,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-24149-baseline-685511526c,budget_exhausted,False,12,119351,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-24149/0/trajectory.jsonl,65556.769
1,n2d,0,0,34,11,52913,10,0,2,True,['lib/matplotlib/axes/_axes.py'],3725,matplotlib__matplotlib-24149,144,0,12,0.0,True,[],0,1,1,0,name_to_definition_phase1-matplotlib__matplotlib-24149-n2d-aad844622f,budget_exhausted,False,12,60093,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-24149/0/trajectory.jsonl,61009.659
1,baseline,0,0,37,12,79426,11,0,,False,['lib/matplotlib/colors.py'],333,matplotlib__matplotlib-24970,52,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-24970-baseline-889e29009a,budget_exhausted,False,12,79426,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-24970/0/trajectory.jsonl,73439.225
1,n2d,0,1,31,10,57428,9,1,,False,['lib/matplotlib/colors.py'],333,matplotlib__matplotlib-24970,52,1,11,0.05555555555555555,True,"[{'end_line': 732, 'file_path': 'lib/matplotlib/colors.py', 'start_line': 730}]",0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-24970-n2d-b6f7775ef7,completed,False,10,68720,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-24970/0/trajectory.jsonl,61581.067
1,baseline,0,0,34,11,68190,10,0,,False,['lib/matplotlib/offsetbox.py'],1635,matplotlib__matplotlib-25311,26,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-25311-baseline-651463eb07,budget_exhausted,False,12,82134,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-25311/0/trajectory.jsonl,55680.6
1,n2d,0,0,34,11,64215,10,0,,False,['lib/matplotlib/offsetbox.py'],1635,matplotlib__matplotlib-25311,26,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-25311-n2d-d4f2802b32,budget_exhausted,False,12,78154,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-25311/0/trajectory.jsonl,56461.333
1,baseline,0,0,37,12,107264,11,0,,False,['lib/matplotlib/cbook.py'],931,matplotlib__matplotlib-25332,33,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-25332-baseline-a2c82bb0a4,budget_exhausted,False,12,107264,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/matplotlib__matplotlib-25332/0/trajectory.jsonl,59833.533
1,n2d,0,0,37,12,61027,11,0,,False,['lib/matplotlib/cbook.py'],931,matplotlib__matplotlib-25332,33,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-matplotlib__matplotlib-25332-n2d-d4687153a0,budget_exhausted,False,12,61027,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/matplotlib__matplotlib-25332/0/trajectory.jsonl,52896.256
2-5,baseline,0,0,25,8,35783,7,0,,False,['requests/sessions.py'],2,psf__requests-2317,3,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-psf__requests-2317-baseline-3eebc54243,budget_exhausted,False,12,64576,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/psf__requests-2317/0/trajectory.jsonl,60812.949
2-5,n2d,0,0,34,11,55165,10,0,,False,['requests/sessions.py'],2,psf__requests-2317,3,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-psf__requests-2317-n2d-40dbc2493e,budget_exhausted,False,12,61727,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/psf__requests-2317/0/trajectory.jsonl,60908.993
1,baseline,0,0,25,8,57578,7,0,,False,['xarray/core/dataarray.py'],1639,pydata__xarray-4094,34,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pydata__xarray-4094-baseline-3691586fc7,budget_exhausted,False,12,122147,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/pydata__xarray-4094/0/trajectory.jsonl,60714.368
1,n2d,0,0,37,12,66011,11,0,1,True,['xarray/core/dataarray.py'],1639,pydata__xarray-4094,34,0,12,0.0,True,[],1,1,1,0,name_to_definition_phase1-pydata__xarray-4094-n2d-5a2ea4005e,budget_exhausted,False,12,66011,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/pydata__xarray-4094/0/trajectory.jsonl,56995.859
1,baseline,0,0,28,9,71340,8,0,,False,['pylint/lint/expand_modules.py'],1314,pylint-dev__pylint-7080,252,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pylint-dev__pylint-7080-baseline-988a804051,budget_exhausted,False,12,100949,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/pylint-dev__pylint-7080/0/trajectory.jsonl,58835.761
1,n2d,0,0,28,9,73198,8,0,,False,['pylint/lint/expand_modules.py'],1314,pylint-dev__pylint-7080,252,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pylint-dev__pylint-7080-n2d-488a9f6006,budget_exhausted,False,12,104244,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/pylint-dev__pylint-7080/0/trajectory.jsonl,67412.006
1,baseline,0,1,25,8,29399,7,1,,False,['src/_pytest/skipping.py'],154,pytest-dev__pytest-7432,39,0,9,0.0,True,"[{'end_line': 274, 'file_path': 'src/_pytest/skipping.py', 'start_line': 273}]",0,0,0,0,name_to_definition_phase1-pytest-dev__pytest-7432-baseline-79e9e81586,completed,False,8,34358,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/pytest-dev__pytest-7432/0/trajectory.jsonl,59532.583
1,n2d,0,0,34,11,53613,10,0,,False,['src/_pytest/skipping.py'],154,pytest-dev__pytest-7432,39,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pytest-dev__pytest-7432-n2d-c001cbb888,budget_exhausted,False,12,59728,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/pytest-dev__pytest-7432/0/trajectory.jsonl,71015.419
1,baseline,0,0,37,12,82133,11,0,,False,['src/_pytest/skipping.py'],758,pytest-dev__pytest-7490,376,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pytest-dev__pytest-7490-baseline-4a2822969b,budget_exhausted,False,12,82133,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/pytest-dev__pytest-7490/0/trajectory.jsonl,64435.57
1,n2d,0,0,37,12,84072,11,0,,False,['src/_pytest/skipping.py'],758,pytest-dev__pytest-7490,376,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-pytest-dev__pytest-7490-n2d-ef3eefb9cf,budget_exhausted,False,12,84072,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/pytest-dev__pytest-7490/0/trajectory.jsonl,65866.0
>5,baseline,0,0,37,12,72813,11,0,,False,['sklearn/linear_model/ridge.py'],178,scikit-learn__scikit-learn-10297,1,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-10297-baseline-bdc1e643f9,budget_exhausted,False,12,72813,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-10297/0/trajectory.jsonl,59558.886
>5,n2d,0,0,37,12,66975,11,0,,False,['sklearn/linear_model/ridge.py'],178,scikit-learn__scikit-learn-10297,1,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-10297-n2d-3def595c3d,budget_exhausted,False,12,66975,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-10297/0/trajectory.jsonl,56026.37
1,baseline,0,0,28,9,50016,8,0,,False,['sklearn/mixture/base.py'],4014,scikit-learn__scikit-learn-13142,86,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13142-baseline-a14e10977e,budget_exhausted,False,12,74083,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-13142/0/trajectory.jsonl,66854.669
1,n2d,0,0,28,9,52414,8,0,,False,['sklearn/mixture/base.py'],4014,scikit-learn__scikit-learn-13142,86,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13142-n2d-c94a55271e,budget_exhausted,False,12,78194,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-13142/0/trajectory.jsonl,60877.95
1,baseline,0,0,37,12,64635,11,0,,False,['sklearn/pipeline.py'],5501,scikit-learn__scikit-learn-13439,70,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13439-baseline-686594fab6,budget_exhausted,False,12,64635,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-13439/0/trajectory.jsonl,56704.4
1,n2d,0,0,28,9,46921,8,0,,False,['sklearn/pipeline.py'],5501,scikit-learn__scikit-learn-13439,70,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13439-n2d-165af3783c,budget_exhausted,False,12,68902,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-13439/0/trajectory.jsonl,57354.335
1,baseline,0,0,19,6,20771,5,0,,False,['sklearn/ensemble/iforest.py'],1005,scikit-learn__scikit-learn-13496,33,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13496-baseline-4fa0e2d914,budget_exhausted,False,12,63160,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-13496/0/trajectory.jsonl,55491.809
1,n2d,0,0,34,11,61049,10,0,,False,['sklearn/ensemble/iforest.py'],1005,scikit-learn__scikit-learn-13496,33,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13496-n2d-931e005768,budget_exhausted,False,12,70594,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-13496/0/trajectory.jsonl,56088.966
1,baseline,0,0,31,10,49100,9,0,,False,['sklearn/ensemble/voting.py'],4123,scikit-learn__scikit-learn-13779,22,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13779-baseline-e137ced8f6,budget_exhausted,False,12,64045,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-13779/0/trajectory.jsonl,62988.401
1,n2d,0,0,31,10,52273,9,0,,False,['sklearn/ensemble/voting.py'],4123,scikit-learn__scikit-learn-13779,22,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-13779-n2d-46885fb34a,budget_exhausted,False,12,68208,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-13779/0/trajectory.jsonl,61320.76
1,baseline,0,0,37,12,77436,11,0,,False,['sklearn/linear_model/logistic.py'],4717,scikit-learn__scikit-learn-14087,99,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14087-baseline-2ed45f4a18,budget_exhausted,False,12,77436,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-14087/0/trajectory.jsonl,76396.89
1,n2d,0,0,37,12,62741,11,0,,False,['sklearn/linear_model/logistic.py'],4717,scikit-learn__scikit-learn-14087,99,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14087-n2d-b5028278a4,budget_exhausted,False,12,62741,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-14087/0/trajectory.jsonl,69657.885
1,baseline,0,0,31,10,50415,9,0,,False,['sklearn/svm/base.py'],5005,scikit-learn__scikit-learn-14894,90,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14894-baseline-2169ac2921,budget_exhausted,False,12,64459,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-14894/0/trajectory.jsonl,108121.772
1,n2d,0,0,37,12,72481,11,0,,False,['sklearn/svm/base.py'],5005,scikit-learn__scikit-learn-14894,90,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14894-n2d-8d5abd1daf,budget_exhausted,False,12,72481,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-14894/0/trajectory.jsonl,83512.345
1,baseline,0,0,37,12,78609,11,0,,False,['sklearn/model_selection/_split.py'],1304,scikit-learn__scikit-learn-14983,44,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14983-baseline-43a98b3fae,budget_exhausted,False,12,78609,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-14983/0/trajectory.jsonl,56441.778
1,n2d,0,0,37,12,81023,11,0,,False,['sklearn/model_selection/_split.py'],1304,scikit-learn__scikit-learn-14983,44,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-14983-n2d-4f78a1ab84,budget_exhausted,False,12,81023,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-14983/0/trajectory.jsonl,68937.224
1,baseline,0,0,37,12,76981,11,0,,False,['sklearn/utils/_set_output.py'],6602,scikit-learn__scikit-learn-25747,183,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-25747-baseline-a16f271b25,budget_exhausted,False,12,76981,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/scikit-learn__scikit-learn-25747/0/trajectory.jsonl,63661.092
1,n2d,0,0,34,11,72833,10,0,,False,['sklearn/utils/_set_output.py'],6602,scikit-learn__scikit-learn-25747,183,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-scikit-learn__scikit-learn-25747-n2d-e9e9a3b562,budget_exhausted,False,12,83484,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/scikit-learn__scikit-learn-25747/0/trajectory.jsonl,62429.712
1,baseline,0,0,31,10,37859,9,0,,False,['sphinx/util/rst.py'],508,sphinx-doc__sphinx-11445,60,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-11445-baseline-0dae0a6c0c,budget_exhausted,False,12,48910,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sphinx-doc__sphinx-11445/0/trajectory.jsonl,56728.331
1,n2d,0,0,31,10,41803,9,0,,False,['sphinx/util/rst.py'],508,sphinx-doc__sphinx-11445,60,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-11445-n2d-2cec2aa38f,budget_exhausted,False,12,53484,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sphinx-doc__sphinx-11445/0/trajectory.jsonl,56688.906
2-5,baseline,0,0,31,10,65115,9,0,,False,['sphinx/ext/autodoc/__init__.py'],213,sphinx-doc__sphinx-8595,20,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-8595-baseline-fdcbc7631a,budget_exhausted,False,12,94370,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sphinx-doc__sphinx-8595/0/trajectory.jsonl,79233.193
